# Field minima and maxima
# Time         	field          	min            	location(min)  	max            	location(max)  
65             	U              	(2.27522115e-01 -3.40057784e-01 -3.39866990e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.24925960e+00 1.86812481e-01 2.05397912e-19)	(4.05887251e-01 2.03909204e+00 -2.62657909e-17)
66             	p              	-5.47256377e-01	(-4.06193375e-02 1.03340804e+00 0.00000000e+00)	6.07086095e-01	(-1.03340804e+00 -4.06193375e-02 -1.52065714e-17)
66             	U              	(2.27246004e-01 -3.39677625e-01 -3.39390798e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.24774292e+00 1.88032859e-01 2.04154676e-19)	(4.05887251e-01 2.03909204e+00 -2.62657909e-17)
67             	p              	-5.45065190e-01	(-4.06193375e-02 1.03340804e+00 0.00000000e+00)	6.07037664e-01	(-1.03340804e+00 -4.06193375e-02 -1.52065714e-17)
67             	U              	(2.26976745e-01 -3.39305703e-01 -3.38925229e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.24625159e+00 1.89205034e-01 2.02963885e-19)	(4.05887251e-01 2.03909204e+00 -2.62657909e-17)
68             	p              	-5.42930837e-01	(-4.06193375e-02 -1.03340804e+00 0.00000000e+00)	6.06986461e-01	(-1.03340804e+00 -4.06193375e-02 -1.52065714e-17)
68             	U              	(2.26713805e-01 -3.38942037e-01 -3.38468222e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.24478486e+00 1.90332075e-01 2.01818314e-19)	(4.05887251e-01 2.03909204e+00 -2.62657909e-17)
69             	p              	-5.40860976e-01	(-4.06193375e-02 -1.03340804e+00 0.00000000e+00)	6.06933965e-01	(-1.03340804e+00 -4.06193375e-02 -1.52065714e-17)
69             	U              	(2.26456606e-01 -3.38586631e-01 -3.38021386e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.24334217e+00 1.91416777e-01 2.00725067e-19)	(4.05887251e-01 2.03909204e+00 -2.62657909e-17)
70             	p              	-5.38866371e-01	(-4.06193375e-02 -1.03340804e+00 0.00000000e+00)	6.06876661e-01	(-1.03340804e+00 -4.06193375e-02 -1.52065714e-17)
70             	U              	(2.26205002e-01 -3.38239421e-01 -3.37587091e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.24192371e+00 1.92461955e-01 1.99694710e-19)	(4.05887251e-01 2.03909204e+00 -2.62657909e-17)
71             	p              	-5.36948243e-01	(-4.06193375e-02 1.03340804e+00 0.00000000e+00)	6.06811299e-01	(-1.03340804e+00 -4.06193375e-02 -1.52065714e-17)
71             	U              	(2.25959204e-01 -3.37900283e-01 -3.37165927e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.24053102e+00 1.93466957e-01 1.98725303e-19)	(4.05887251e-01 2.03909204e+00 -2.62657909e-17)
72             	p              	-5.35100143e-01	(-4.06193375e-02 1.03340804e+00 0.00000000e+00)	6.06736492e-01	(-1.03340804e+00 -4.06193375e-02 -1.52065714e-17)
72             	U              	(2.25719405e-01 -3.37569081e-01 -3.36756693e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.23916510e+00 1.94432345e-01 1.97807395e-19)	(4.05887251e-01 2.03909204e+00 -2.62657909e-17)
73             	p              	-5.33315379e-01	(-4.06193375e-02 1.03340804e+00 0.00000000e+00)	6.06652712e-01	(-1.03340804e+00 -4.06193375e-02 -1.52065714e-17)
73             	U              	(2.25485559e-01 -3.37245718e-01 -3.36357796e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.23782616e+00 1.95359586e-01 1.96932236e-19)	(4.05887251e-01 2.03909204e+00 -2.62657909e-17)
74             	p              	-5.31590965e-01	(-4.06193375e-02 -1.03340804e+00 0.00000000e+00)	6.06561852e-01	(-1.03340804e+00 -4.06193375e-02 -1.52065714e-17)
74             	U              	(2.25257439e-01 -3.36930111e-01 -3.35968652e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.23651393e+00 1.96250519e-01 1.96096587e-19)	(4.05887251e-01 2.03909204e+00 -2.62657909e-17)
75             	p              	-5.29924493e-01	(-4.06193375e-02 -1.03340804e+00 0.00000000e+00)	6.06467866e-01	(-1.03340804e+00 -4.06193375e-02 -1.52065714e-17)
75             	U              	(2.25034827e-01 -3.36622167e-01 -3.35589590e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.23522821e+00 1.97106782e-01 1.95300770e-19)	(4.05887251e-01 2.03909204e+00 -2.62657909e-17)
76             	p              	-5.28312195e-01	(-4.06193375e-02 1.03340804e+00 0.00000000e+00)	6.06374924e-01	(-1.03340804e+00 -4.06193375e-02 -1.52065714e-17)
76             	U              	(2.24817627e-01 -3.36321767e-01 -3.35221002e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.23396911e+00 1.97929645e-01 1.94544011e-19)	(4.05887251e-01 2.03909204e+00 -2.62657909e-17)
77             	p              	-5.26750931e-01	(-4.06193375e-02 1.03340804e+00 0.00000000e+00)	6.06284082e-01	(-1.03340804e+00 -4.06193375e-02 -1.52065714e-17)
77             	U              	(2.24605828e-01 -3.36028774e-01 -3.34862785e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.23273684e+00 1.98720214e-01 1.93823208e-19)	(4.05887251e-01 2.03909204e+00 -2.62657909e-17)
78             	p              	-5.25240626e-01	(-4.06193375e-02 1.03340804e+00 0.00000000e+00)	6.06192274e-01	(-1.03340804e+00 -4.06193375e-02 -1.52065714e-17)
78             	U              	(2.24399403e-01 -3.35743055e-01 -3.34514404e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.23153151e+00 1.99479628e-01 1.93134949e-19)	(4.05887251e-01 2.03909204e+00 -2.62657909e-17)
79             	p              	-5.23783227e-01	(-4.06193375e-02 -1.03340804e+00 0.00000000e+00)	6.06095114e-01	(-1.03340804e+00 -4.06193375e-02 -1.52065714e-17)
79             	U              	(2.24198255e-01 -3.35464481e-01 -3.34175308e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.23035300e+00 2.00209108e-01 1.92476767e-19)	(4.05887251e-01 2.03909204e+00 -2.62657909e-17)
80             	p              	-5.22379281e-01	(-4.06193375e-02 -1.03340804e+00 0.00000000e+00)	6.05991007e-01	(-1.03340804e+00 -4.06193375e-02 -1.52065714e-17)
80             	U              	(2.24002245e-01 -3.35192933e-01 -3.33845237e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.22920106e+00 2.00909880e-01 1.91847627e-19)	(4.05887251e-01 2.03909204e+00 -2.62657909e-17)
81             	p              	-5.21024878e-01	(-4.06193375e-02 1.03340804e+00 0.00000000e+00)	6.05883271e-01	(-1.03340804e+00 -4.06193375e-02 -1.52065714e-17)
81             	U              	(2.23811240e-01 -3.34928282e-01 -3.33524136e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.22807542e+00 2.01583077e-01 1.91247205e-19)	(4.05887251e-01 2.03909204e+00 -2.62657909e-17)
82             	p              	-5.19713276e-01	(-4.06193375e-02 1.03340804e+00 0.00000000e+00)	6.05777672e-01	(-1.03340804e+00 -4.06193375e-02 -1.52065714e-17)
82             	U              	(2.23625095e-01 -3.34670354e-01 -3.33212018e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.22697584e+00 2.02229726e-01 1.90674141e-19)	(4.05887251e-01 2.03909204e+00 -2.62657909e-17)
83             	p              	-5.18439360e-01	(-4.06193375e-02 1.03340804e+00 0.00000000e+00)	6.05677731e-01	(-1.03340804e+00 -4.06193375e-02 -1.52065714e-17)
83             	U              	(2.23443772e-01 -3.34419048e-01 -3.32908680e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.22590212e+00 2.02850819e-01 1.90126287e-19)	(4.05887251e-01 2.03909204e+00 -2.62657909e-17)
84             	p              	-5.17202651e-01	(-4.06193375e-02 -1.03340804e+00 0.00000000e+00)	6.05582118e-01	(-1.03340804e+00 -4.06193375e-02 -1.52065714e-17)
84             	U              	(2.23267197e-01 -3.34174238e-01 -3.32613794e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.22485403e+00 2.03447355e-01 1.89601319e-19)	(4.05887251e-01 2.03909204e+00 -2.62657909e-17)
85             	p              	-5.16006022e-01	(-4.06193375e-02 -1.03340804e+00 0.00000000e+00)	6.05486464e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
85             	U              	(2.23095270e-01 -3.33935791e-01 -3.32327049e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.22383128e+00 2.04020351e-01 1.89097591e-19)	(4.05887251e-01 2.03909204e+00 -2.62657909e-17)
86             	p              	-5.14851517e-01	(-4.06193375e-02 -1.03340804e+00 0.00000000e+00)	6.05387566e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
86             	U              	(2.22927880e-01 -3.33703576e-01 -3.32048212e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.22609921e+00 2.01553891e-01 1.27806759e-19)	(4.27276335e-01 2.14647947e+00 3.17318174e-17)
87             	p              	-5.13737481e-01	(-4.06193375e-02 -1.03340804e+00 0.00000000e+00)	6.05286152e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
87             	U              	(2.22764920e-01 -3.33477457e-01 -3.31777117e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.22524254e+00 2.02136419e-01 1.27523250e-19)	(4.27276335e-01 2.14647947e+00 3.17318174e-17)
88             	p              	-5.12659034e-01	(-4.06193375e-02 -1.03340804e+00 0.00000000e+00)	6.05186108e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
88             	U              	(2.22606293e-01 -3.33257300e-01 -3.31513601e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.22440654e+00 2.02697290e-01 1.27249067e-19)	(4.27276335e-01 2.14647947e+00 3.17318174e-17)
89             	p              	-5.11611150e-01	(-4.06193375e-02 -1.03340804e+00 0.00000000e+00)	6.05091265e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
89             	U              	(2.22451906e-01 -3.33042970e-01 -3.31257462e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.22359094e+00 2.03237173e-01 1.26984983e-19)	(4.27276335e-01 2.14647947e+00 3.17318174e-17)
90             	p              	-5.10591541e-01	(-4.06193375e-02 -1.03340804e+00 0.00000000e+00)	6.05002644e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
90             	U              	(2.22301665e-01 -3.32834334e-01 -3.31008476e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.22279546e+00 2.03756713e-01 1.26730994e-19)	(4.27276335e-01 2.14647947e+00 3.17318174e-17)
91             	p              	-5.09601002e-01	(-4.06193375e-02 -1.03340804e+00 0.00000000e+00)	6.04918248e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
91             	U              	(2.22155472e-01 -3.32631262e-01 -3.30766427e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.22201977e+00 2.04256606e-01 1.26486609e-19)	(4.27276335e-01 2.14647947e+00 3.17318174e-17)
92             	p              	-5.08641320e-01	(-4.06193375e-02 -1.03340804e+00 0.00000000e+00)	6.04835258e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
92             	U              	(2.22013226e-01 -3.32433624e-01 -3.30531131e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.22126353e+00 2.04737606e-01 1.26251353e-19)	(4.27276335e-01 2.14647947e+00 3.17318174e-17)
93             	p              	-5.07712717e-01	(-4.06193375e-02 -1.03340804e+00 0.00000000e+00)	6.04752521e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
93             	U              	(2.21874830e-01 -3.32241290e-01 -3.30302419e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.22052642e+00 2.05200472e-01 1.26024932e-19)	(4.27276335e-01 2.14647947e+00 3.17318174e-17)
94             	p              	-5.06813053e-01	(-4.06193375e-02 -1.03340804e+00 0.00000000e+00)	6.04671265e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
94             	U              	(1.63065953e-01 -1.49955639e-01 -2.68338148e-19)	(-7.02007805e-01 -7.59452236e-01 -1.44256216e-17)	(1.21980809e+00 2.05645946e-01 1.25806951e-19)	(4.27276335e-01 2.14647947e+00 3.17318174e-17)
95             	p              	-5.05938902e-01	(-4.06193375e-02 -1.03340804e+00 0.00000000e+00)	6.04593946e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
95             	U              	(1.62944428e-01 -1.49846306e-01 -2.68115980e-19)	(-7.02007805e-01 -7.59452236e-01 -1.44256216e-17)	(1.21910821e+00 2.06074739e-01 1.25597167e-19)	(4.27276335e-01 2.14647947e+00 3.17318174e-17)
96             	p              	-5.05087497e-01	(-4.06193375e-02 -1.03340804e+00 0.00000000e+00)	6.04522327e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
96             	U              	(1.62826314e-01 -1.49740031e-01 -2.67900274e-19)	(-7.02007805e-01 -7.59452236e-01 -1.44256216e-17)	(1.21842671e+00 2.06486917e-01 1.25394546e-19)	(4.27276335e-01 2.14647947e+00 3.17318174e-17)
97             	p              	-5.04257849e-01	(-4.06193375e-02 -1.03340804e+00 0.00000000e+00)	6.04456452e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
97             	U              	(1.62711521e-01 -1.49636733e-01 -2.67690832e-19)	(-7.02007805e-01 -7.59452236e-01 -1.44256216e-17)	(1.21776454e+00 2.06880750e-01 1.25194514e-19)	(4.27276335e-01 2.14647947e+00 3.17318174e-17)
98             	p              	-5.03450391e-01	(-4.06193375e-02 -1.03340804e+00 0.00000000e+00)	6.04395066e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
98             	U              	(2.21237400e-01 -3.31354796e-01 -3.29251600e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.21712072e+00 2.07258852e-01 1.24996912e-19)	(4.27276335e-01 2.14647947e+00 3.17318174e-17)
99             	p              	-5.02665597e-01	(-4.06193375e-02 -1.03340804e+00 0.00000000e+00)	6.04336895e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
99             	U              	(2.21120214e-01 -3.31191689e-01 -3.29058760e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.21649448e+00 2.07622719e-01 1.24803203e-19)	(4.27276335e-01 2.14647947e+00 3.17318174e-17)
100            	p              	-5.01903180e-01	(-4.06193375e-02 -1.03340804e+00 0.00000000e+00)	6.04281431e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
100            	U              	(2.21006282e-01 -3.31033051e-01 -3.28871268e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.21588523e+00 2.07973234e-01 1.24614870e-19)	(4.27276335e-01 2.14647947e+00 3.17318174e-17)
101            	p              	-5.01161205e-01	(-4.06193375e-02 -1.03340804e+00 0.00000000e+00)	6.04229836e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
101            	U              	(2.20895497e-01 -3.30878755e-01 -3.28688990e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.21529246e+00 2.08311000e-01 1.24432653e-19)	(4.27276335e-01 2.14647947e+00 3.17318174e-17)
102            	p              	-5.00437920e-01	(-4.06193375e-02 -1.03340804e+00 0.00000000e+00)	6.04183064e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
102            	U              	(2.20787769e-01 -3.30728685e-01 -3.28511800e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.21471571e+00 2.08636523e-01 1.24256837e-19)	(4.27276335e-01 2.14647947e+00 3.17318174e-17)
103            	p              	-4.99732073e-01	(-4.06193375e-02 -1.03340804e+00 0.00000000e+00)	6.04141590e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
103            	U              	(2.20683014e-01 -3.30582727e-01 -3.28339569e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.21415453e+00 2.08950280e-01 1.24087415e-19)	(4.27276335e-01 2.14647947e+00 3.17318174e-17)
104            	p              	-4.99043015e-01	(-4.06193375e-02 -1.03340804e+00 0.00000000e+00)	6.04105344e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
104            	U              	(2.20581154e-01 -3.30440776e-01 -3.28172167e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.21360852e+00 2.09252735e-01 1.23924239e-19)	(4.27276335e-01 2.14647947e+00 3.17318174e-17)
105            	p              	-4.98370421e-01	(-4.06193375e-02 -1.03340804e+00 0.00000000e+00)	6.04073965e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
105            	U              	(2.20482112e-01 -3.30302723e-01 -3.28009459e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.21307730e+00 2.09544342e-01 1.23767097e-19)	(4.27276335e-01 2.14647947e+00 3.17318174e-17)
106            	p              	-4.97713932e-01	(-4.06193375e-02 -1.03340804e+00 0.00000000e+00)	6.04047109e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
106            	U              	(2.20385811e-01 -3.30168466e-01 -3.27851315e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.21256041e+00 2.09825567e-01 1.23615567e-19)	(4.27276335e-01 2.14647947e+00 3.17318174e-17)
107            	p              	-4.97073008e-01	(-4.06193375e-02 -1.03340804e+00 0.00000000e+00)	6.04024649e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
107            	U              	(2.20292179e-01 -3.30037904e-01 -3.27697605e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.21205731e+00 2.10096957e-01 1.23469679e-19)	(4.27276335e-01 2.14647947e+00 3.17318174e-17)
108            	p              	-4.96446943e-01	(-4.06193375e-02 -1.03340804e+00 0.00000000e+00)	6.04006709e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
108            	U              	(2.20201142e-01 -3.29910937e-01 -3.27548203e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.21156762e+00 2.10358807e-01 1.23329193e-19)	(4.27276335e-01 2.14647947e+00 3.17318174e-17)
109            	p              	-4.95834899e-01	(-4.06193375e-02 -1.03340804e+00 0.00000000e+00)	6.03993566e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
109            	U              	(2.20112630e-01 -3.29787468e-01 -3.27402989e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.21109104e+00 2.10611445e-01 1.23193737e-19)	(4.27276335e-01 2.14647947e+00 3.17318174e-17)
110            	p              	-4.95236040e-01	(-4.06193375e-02 -1.03340804e+00 0.00000000e+00)	6.03985509e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
110            	U              	(2.20026573e-01 -3.29667403e-01 -3.27261845e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.21062731e+00 2.10855223e-01 1.23063046e-19)	(4.27276335e-01 2.14647947e+00 3.17318174e-17)
111            	p              	-4.94649661e-01	(-4.06193375e-02 -1.03340804e+00 0.00000000e+00)	6.03982635e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
111            	U              	(2.19942905e-01 -3.29550650e-01 -3.27124655e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.21017617e+00 2.11090493e-01 1.22936734e-19)	(4.27276335e-01 2.14647947e+00 3.17318174e-17)
112            	p              	-4.94075237e-01	(-4.06193375e-02 -1.03340804e+00 0.00000000e+00)	6.03984848e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
112            	U              	(2.19861559e-01 -3.29437119e-01 -3.26991300e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.20973733e+00 2.11317611e-01 1.22814485e-19)	(4.27276335e-01 2.14647947e+00 3.17318174e-17)
113            	p              	-4.93512388e-01	(-4.06193375e-02 1.03340804e+00 0.00000000e+00)	6.03991981e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
113            	U              	(2.19782472e-01 -3.29326721e-01 -3.26861667e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.20931050e+00 2.11536923e-01 1.22696203e-19)	(4.27276335e-01 2.14647947e+00 3.17318174e-17)
114            	p              	-4.92960770e-01	(-4.06193375e-02 1.03340804e+00 0.00000000e+00)	6.04003902e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
114            	U              	(2.19705579e-01 -3.29219370e-01 -3.26735656e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.20889535e+00 2.11748752e-01 1.22581854e-19)	(4.27276335e-01 2.14647947e+00 3.17318174e-17)
115            	p              	-4.92420153e-01	(-4.06193375e-02 -1.03340804e+00 0.00000000e+00)	6.04020385e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
115            	U              	(2.19630821e-01 -3.29114982e-01 -3.26613169e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.20849156e+00 2.11953391e-01 1.22471372e-19)	(4.27276335e-01 2.14647947e+00 3.17318174e-17)
116            	p              	-4.91889583e-01	(-4.06193375e-02 -1.03340804e+00 0.00000000e+00)	6.04041932e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
116            	U              	(2.19558138e-01 -3.29013477e-01 -3.26494105e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.20809884e+00 2.12151119e-01 1.22364625e-19)	(4.27276335e-01 2.14647947e+00 3.17318174e-17)
117            	p              	-4.91368703e-01	(-4.06193375e-02 1.03340804e+00 0.00000000e+00)	6.04068449e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
117            	U              	(4.21401630e-01 -3.45657656e-01 -3.90649795e-19)	(-1.32795509e+00 -4.89939434e-01 -1.71635020e-17)	(1.20771688e+00 2.12342199e-01 1.22261440e-19)	(4.27276335e-01 2.14647947e+00 3.17318174e-17)
118            	p              	-4.90857213e-01	(-4.06193375e-02 1.03340804e+00 0.00000000e+00)	6.04099730e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
118            	U              	(4.21302310e-01 -3.45601341e-01 -3.90543412e-19)	(-1.32795509e+00 -4.89939434e-01 -1.71635020e-17)	(1.20734539e+00 2.12526891e-01 1.22161635e-19)	(4.27276335e-01 2.14647947e+00 3.17318174e-17)
119            	p              	-4.90354730e-01	(-4.06193375e-02 1.03340804e+00 0.00000000e+00)	6.04135717e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
119            	U              	(2.19351974e-01 -3.28725477e-01 -3.26156486e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.20698410e+00 2.12705445e-01 1.22065065e-19)	(4.27276335e-01 2.14647947e+00 3.17318174e-17)
120            	p              	-4.89860796e-01	(-4.06193375e-02 1.03340804e+00 0.00000000e+00)	6.04176466e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
120            	U              	(2.19287032e-01 -3.28634731e-01 -3.26050164e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.20663271e+00 2.12878101e-01 1.21971603e-19)	(4.27276335e-01 2.14647947e+00 3.17318174e-17)
121            	p              	-4.89374992e-01	(-4.06193375e-02 -1.03340804e+00 0.00000000e+00)	6.04222007e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
121            	U              	(4.21020436e-01 -3.45441392e-01 -3.90241531e-19)	(-1.32795509e+00 -4.89939434e-01 -1.71635020e-17)	(1.20629095e+00 2.13045091e-01 1.21881131e-19)	(4.27276335e-01 2.14647947e+00 3.17318174e-17)
122            	p              	-4.88897017e-01	(-4.06193375e-02 1.03340804e+00 0.00000000e+00)	6.04272253e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
122            	U              	(4.20931599e-01 -3.45390943e-01 -3.90146401e-19)	(-1.32795509e+00 -4.89939434e-01 -1.71635020e-17)	(1.20595857e+00 2.13206634e-01 1.21793528e-19)	(4.27276335e-01 2.14647947e+00 3.17318174e-17)
123            	p              	-4.88426646e-01	(-4.06193375e-02 1.03340804e+00 0.00000000e+00)	6.04327047e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
123            	U              	(4.20845205e-01 -3.45341864e-01 -3.90053895e-19)	(-1.32795509e+00 -4.89939434e-01 -1.71635020e-17)	(1.20563532e+00 2.13362941e-01 1.21708673e-19)	(4.27276335e-01 2.14647947e+00 3.17318174e-17)
124            	p              	-4.87963626e-01	(-4.06193375e-02 1.03340804e+00 0.00000000e+00)	6.04386267e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
124            	U              	(4.20761188e-01 -3.45294120e-01 -3.89963938e-19)	(-1.32795509e+00 -4.89939434e-01 -1.71635020e-17)	(1.20532093e+00 2.13514217e-01 1.21626451e-19)	(4.27276335e-01 2.14647947e+00 3.17318174e-17)
125            	p              	-4.87507645e-01	(-4.06193375e-02 1.03340804e+00 0.00000000e+00)	6.04449868e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
125            	U              	(4.20679482e-01 -3.45247674e-01 -3.89876461e-19)	(-1.32795509e+00 -4.89939434e-01 -1.71635020e-17)	(1.20501518e+00 2.13660653e-01 1.21546755e-19)	(4.27276335e-01 2.14647947e+00 3.17318174e-17)
126            	p              	-4.87058380e-01	(-4.06193375e-02 1.03340804e+00 0.00000000e+00)	6.04517833e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
126            	U              	(4.20600024e-01 -3.45202491e-01 -3.89791394e-19)	(-1.32795509e+00 -4.89939434e-01 -1.71635020e-17)	(1.20471781e+00 2.13802434e-01 1.21469489e-19)	(4.27276335e-01 2.14647947e+00 3.17318174e-17)
127            	p              	-4.86615560e-01	(-4.06193375e-02 1.03340804e+00 0.00000000e+00)	6.04590105e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
127            	U              	(4.20522752e-01 -3.45158539e-01 -3.89708672e-19)	(-1.32795509e+00 -4.89939434e-01 -1.71635020e-17)	(1.20442861e+00 2.13939740e-01 1.21394510e-19)	(4.27276335e-01 2.14647947e+00 3.17318174e-17)
128            	p              	-4.86178979e-01	(-4.06193375e-02 1.03340804e+00 0.00000000e+00)	6.04666570e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
128            	U              	(4.20447605e-01 -3.45115783e-01 -3.89628229e-19)	(-1.32795509e+00 -4.89939434e-01 -1.71635020e-17)	(1.20414734e+00 2.14072745e-01 1.21321675e-19)	(4.27276335e-01 2.14647947e+00 3.17318174e-17)
129            	p              	-4.85748476e-01	(-4.06193375e-02 -1.03340804e+00 0.00000000e+00)	6.04747083e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
129            	U              	(4.20374525e-01 -3.45074193e-01 -3.89550005e-19)	(-1.32795509e+00 -4.89939434e-01 -1.71635020e-17)	(1.20387379e+00 2.14201614e-01 1.21250965e-19)	(4.27276335e-01 2.14647947e+00 3.17318174e-17)
130            	p              	-4.85323877e-01	(-4.06193375e-02 -1.03340804e+00 0.00000000e+00)	6.04831517e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
130            	U              	(4.20303455e-01 -3.45033735e-01 -3.89473934e-19)	(-1.32795509e+00 -4.89939434e-01 -1.71635020e-17)	(1.20360775e+00 2.14326496e-01 1.21182372e-19)	(4.27276335e-01 2.14647947e+00 3.17318174e-17)
